Language,Ethnologue Code,iso_6393,glottocode,name,level,macroarea,latitude,longitude,id,family_id,parent_id,bookkeeping,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
Ilocano,ILO,ilo,ilok1237,Iloko,language,Papunesia,15.9361,120.993,ilok1237,aust1307,nort3238,FALSE,ilo,NA,NA,0,0,0,PH
Iraqw,IRK,irk,iraq1241,Iraqw,language,Africa,-4.19948,35.2939,iraq1241,afro1255,iraq1240,FALSE,irk,NA,NA,0,0,1,TZ
Isekiri,ITS,its,isek1239,Isekiri,language,Africa,5.81898,5.5862,isek1239,atla1278,edek1238,FALSE,its,NA,NA,0,0,0,NG
Isoko,ISO,iso,isok1239,Isoko,language,Africa,5.52889,6.24682,isok1239,atla1278,sout2805,FALSE,iso,NA,NA,0,0,22,NG
Itelmen,ITL,itl,itel1242,West Itelmen,language,Eurasia,56.046173,156.30704,itel1242,chuk1271,kamc1243,FALSE,itl,NA,NA,0,0,2,RU
Izon,IJC,ijc,izon1238,Izon,language,Africa,5.17986,5.51702,izon1238,ijoi1239,west2446,FALSE,ijc,NA,NA,0,0,27,NG
Javanese,JAV,jav,java1254,Javanese,language,Papunesia,-7.001,109.287,java1254,aust1307,mode1251,FALSE,jav,NA,NA,0,0,24,ID MY
Jingpho,KAC,kac,kach1280,Southern Jinghpaw,language,Eurasia,25.4634,97.3278,kach1280,sino1245,jing1260,FALSE,kac,NA,NA,0,0,5,CN MM
Jola-Fonyi,DYO,dyo,jola1263,Jola-Fonyi,language,Africa,12.75752,-15.7354766667,jola1263,atla1278,jola1264,FALSE,dyo,NA,NA,0,0,5,GM GW SN
Juǀ'hoan (Zhu'oasi),KTZ,ktz,juho1239,South-Eastern Ju,language,Africa,-19.688,20.7673,juho1239,kxaa1236,juku1256,FALSE,ktz,NA,NA,0,0,3,BW NA
Kabardian,KBD,kbd,kaba1278,Kabardian,language,Eurasia,43.5082,43.3918,kaba1278,abkh1242,circ1239,FALSE,kbd,NA,NA,0,0,1,RU TR
Kabuverdianu (Cape Verde Creole),KEA,kea,kabu1256,Kabuverdianu,language,Africa,15.0586,-23.6148,kabu1256,indo1319,uppe1458,FALSE,kea,NA,NA,0,0,3,CV
Kaititj,GBB,gbb,kayt1238,Kaytetye,language,Australia,-21.5844,133.602,kayt1238,pama1250,aran1267,FALSE,gbb,NA,NA,0,0,0,AU
Kalabari,IJN,ijn,kala1381,Kalabari,language,Africa,4.53194,6.69539,kala1381,ijoi1239,kaki1246,FALSE,ijn,NA,NA,0,0,0,NG
Kala Lagaw Ya,MWP,mwp,kala1377,Kala Lagaw Ya,language,Australia,-10.6748,142.196,kala1377,pama1250,pama1250,FALSE,mwp,NA,NA,0,0,4,AU
Kamba,KAM,kam,kamb1297,Kamba (Kenya),language,Africa,-1.60827,37.9532,kamb1297,atla1278,kamb1323,FALSE,kam,NA,NA,0,0,4,KE
Kambari (Tsishingini),TSW,tsw,tsis1238,Salka-Tsishingini,language,Africa,10.2882,5.11073,tsis1238,atla1278,east2739,FALSE,tsw,NA,NA,0,0,1,NG
Kanite,KMU,kmu,kani1286,Kanite,language,Papunesia,-6.38841,145.556,kani1286,nucl1709,kama1374,FALSE,kmu,NA,NA,0,0,0,PG
Kannada,KAN,kan,nucl1305,Kannada,language,Eurasia,13.5878,76.1198,nucl1305,drav1251,kann1255,FALSE,kan,NA,NA,0,0,12,IN
Kapampangan,PAM,pam,pamp1243,Pampanga,language,Papunesia,14.9603,120.502,pamp1243,aust1307,cent2080,FALSE,pam,NA,NA,0,0,0,PH
Karakalpak,KAA,kaa,kara1467,Kara-Kalpak,language,Eurasia,39.98005,63.32233,kara1467,turk1311,sout2701,FALSE,kaa,NA,NA,0,0,2,AF KG KZ TM UZ
Kelabit,KZI,kzi,kela1258,Kelabit,language,Papunesia,3.31783,115.428,kela1258,aust1307,kela1257,FALSE,kzi,NA,NA,0,0,5,BN ID MY
Kele,SBC,sbc,kele1258,Kele (Papua New Guinea),language,Papunesia,-2.09163,147.064,kele1258,aust1307,kurt1251,FALSE,sbc,NA,NA,0,0,0,PG
Khana,OGO,ogo,khan1278,Khana,language,Africa,4.70908,7.44363,khan1278,atla1278,taik1252,FALSE,ogo,NA,NA,0,0,6,NG
Khmer (Cambodian),KHM,khm,cent1989,Central Khmer,language,Eurasia,12.0515,105.015,cent1989,aust1305,khme1253,FALSE,khm,NA,NA,0,0,3,KH LA TH VN
Kirike,OKR,okr,kiri1254,Kirike,language,Africa,4.41126,6.98938,kiri1254,ijoi1239,kaki1246,FALSE,okr,NA,NA,0,0,0,NG
Kirundi (Rundi),RUN,run,rund1242,Rundi,language,Africa,-2.94,29.97,rund1242,atla1278,rund1244,FALSE,run,NA,NA,0,0,0,BI CD RW TZ UG
Kissi,KQS,kqs,nort2765,Northern Kissi,language,Africa,8.7283,-10.4063,nort2765,atla1278,kiss1245,FALSE,kqs,NA,NA,0,0,4,GN LR SL
Klao,KLU,klu,klao1243,Klao,language,Africa,5.05,-8.85,klao1243,krua1234,klao1242,FALSE,klu,NA,NA,0,0,4,LR SL
Kom,BKM,bkm,komc1235,Kom (Cameroon),language,Africa,6.2596,10.3348,komc1235,atla1278,komk1239,FALSE,bkm,NA,NA,0,0,1,CM
Konkani,KNN,knn,konk1267,Konkan Marathi,language,Eurasia,18.404,73.994,konk1267,indo1319,west2963,FALSE,knn,NA,NA,0,0,15,IN
Kono,KNO,kno,kono1268,Kono (Sierra Leone),language,Africa,8.67039,-10.9214,kono1268,mand1469,vaik1238,FALSE,kno,NA,NA,0,0,2,GN SL
Koonzime,OZM,ozm,koon1245,Koonzime,language,Africa,3.25933,13.54152,koon1245,atla1278,njem1234,FALSE,ozm,NA,NA,0,0,2,CM
